,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,doubleKills,tripleKills,quadraKills,pentaKills,visionScore,timeCCingOthers,turretKills,inhibitorKills,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,champion,spell1,spell2,gameDuration,tier,division,kda,totalDamageDealt_per_min,magicDamageDealt_per_min,physicalDamageDealt_per_min,trueDamageDealt_per_min,totalDamageDealtToChampions_per_min,magicDamageDealtToChampions_per_min,physicalDamageDealtToChampions_per_min,totalHeal_per_min,totalUnitsHealed_per_min,damageSelfMitigated_per_min,damageDealtToObjectives_per_min,damageDealtToTurrets_per_min,totalDamageTaken_per_min,magicalDamageTaken_per_min,physicalDamageTaken_per_min,goldEarned_per_min,goldSpent_per_min,totalMinionsKilled_per_min,neutralMinionsKilled_per_min,neutralMinionsKilledTeamJungle_per_min,neutralMinionsKilledEnemyJungle_per_min,lane
hi im a raccoon,True,7,5,8,2,1,0,0,0,0,32,40,3,0,210,15,2,5,7,False,False,False,False,False,True,8000,8400.0,5005,5008,5002,6,12,4,1675,PLATINUM,IV,3.0,6015.98,0.0,5113.9,902.04,1005.49,0.0,926.65,185.27,0.04,835.59,716.49,123.73,784.73,321.17,426.95,449.12,369.85,6.66,0.21,0.0,0.21,TOP
lSEXYl  Vayne,True,10,4,6,4,2,2,0,0,0,18,7,4,1,34,15,4,11,0,False,False,False,False,True,False,8000,8100.0,5005,5002,5002,67,7,4,1675,PLATINUM,IV,4.0,4967.21,175.56,3648.11,1143.51,690.48,39.19,447.69,248.63,0.11,266.94,599.07,240.64,530.15,183.47,338.61,492.82,419.1,6.91,0.72,0.32,0.14,ADC
50 up Mountain,True,4,5,16,2,1,0,0,0,0,74,29,0,0,117,13,8,35,6,False,False,False,False,False,True,8300,8200.0,5005,5002,5002,875,4,14,1675,PLATINUM,IV,4.0,1574.94,135.87,974.65,464.38,573.71,44.92,360.57,46.53,0.04,1111.49,38.54,38.54,959.5,562.78,384.97,326.97,290.15,1.65,0.0,0.0,0.0,SUPPORT
Wally Jr,True,8,1,7,5,1,0,0,0,0,26,38,0,0,423,15,3,11,3,False,False,False,False,False,True,8200,8300.0,5007,5008,5003,99,4,21,1675,PLATINUM,IV,15.0,4401.99,3741.03,490.85,170.08,569.73,546.77,22.93,28.98,0.04,237.31,156.61,77.09,240.11,134.44,105.67,411.3,325.07,6.05,0.57,0.14,0.14,MIDDLE
VoidSeer,False,2,3,9,0,1,0,0,0,0,16,57,1,0,438,14,1,9,3,False,False,False,False,False,False,8200,8300.0,5008,5008,5003,90,6,4,1675,PLATINUM,IV,3.67,4495.41,3968.35,415.63,111.4,702.16,696.32,5.84,81.31,0.04,219.15,125.73,84.11,441.03,187.38,172.12,346.82,338.87,6.91,0.0,0.0,0.0,MIDDLE
putyopantson,False,5,6,9,4,3,1,1,0,0,22,4,0,0,99,14,5,5,4,False,False,False,False,False,False,8100,8300.0,5005,5008,5003,102,4,11,1675,PLATINUM,IV,2.33,5475.55,3970.21,1118.76,386.58,666.34,605.84,38.51,429.71,0.04,669.92,1000.84,97.93,1158.02,302.36,753.39,400.48,371.64,1.5,4.3,2.83,0.32,JUNGLE
Nidalee Fill,False,5,7,2,2,1,0,0,0,0,16,13,2,0,84,14,2,11,0,False,False,False,False,False,False,8000,8100.0,5005,5008,5002,107,14,4,1675,PLATINUM,IV,1.0,3439.63,497.95,2894.76,46.93,333.56,55.41,247.81,317.05,0.04,560.38,201.21,143.61,1006.32,205.04,698.83,374.04,347.46,5.16,0.64,0.11,0.43,TOP
Reffect,False,8,8,6,4,1,0,0,0,0,13,22,1,0,84,12,0,9,0,False,False,True,False,False,False,8100,8200.0,5008,5008,5002,202,7,4,1675,PLATINUM,IV,1.75,3584.13,212.67,3371.43,0.0,554.61,90.27,464.35,199.74,0.14,210.05,203.43,99.55,670.46,265.58,343.77,402.59,379.7,5.37,0.36,0.29,0.04,ADC
EYESTEELBALLZ,False,0,11,10,0,0,0,0,0,0,36,28,0,0,75,11,3,16,5,False,False,False,True,False,False,8400,8300.0,5007,5002,5002,53,4,14,1675,PLATINUM,IV,0.91,761.3,375.04,234.91,151.31,235.34,178.96,45.96,2.44,0.04,975.12,57.64,57.64,887.18,189.1,583.81,229.11,221.19,1.07,0.0,0.0,0.0,SUPPORT
lorddtilt,True,9,4,3,4,2,1,0,0,0,9,8,1,0,98,14,0,5,1,False,False,False,False,False,False,8400,8100.0,5005,5008,5002,36,12,4,1513,PLATINUM,IV,3.0,4749.32,2347.89,1885.22,516.13,528.98,367.69,147.84,375.19,0.04,1078.14,1262.78,120.12,991.21,219.14,584.93,424.96,412.43,5.43,0.63,0.16,0.0,TOP
Shines Princess ,True,9,2,7,7,1,0,0,0,0,21,11,1,0,272,15,2,3,3,False,False,True,False,False,False,8000,8100.0,5005,5008,5002,107,11,4,1513,PLATINUM,IV,8.0,6825.76,1110.89,5072.48,642.39,558.72,23.83,522.67,534.37,0.04,434.59,850.39,0.0,882.27,197.88,643.98,509.11,450.1,2.22,5.16,3.25,0.28,JUNGLE
Guiłt,True,3,9,8,0,1,0,0,0,0,7,13,0,0,184,13,0,6,0,False,False,False,False,False,False,8100,8200.0,5008,5008,5002,517,12,4,1513,PLATINUM,IV,1.22,2109.08,1678.33,422.62,8.09,469.09,447.76,18.72,138.2,0.04,396.13,96.64,58.06,880.93,285.33,458.27,284.65,252.61,3.41,0.0,0.0,0.0,MIDDLE
Afro Bro,True,7,5,5,4,1,0,0,0,0,19,0,3,0,0,13,2,9,4,False,False,False,False,False,False,8000,8200.0,5007,5008,5002,81,7,4,1513,PLATINUM,IV,2.4,3493.6,608.57,2765.87,119.17,616.66,229.77,386.89,158.98,0.12,223.27,314.63,246.42,660.91,189.08,418.97,392.52,350.96,6.35,0.0,0.0,0.0,MIDDLE
7rash Pandaa,True,7,2,12,3,1,0,0,0,0,54,63,0,0,90,13,2,22,8,False,False,False,False,False,False,8200,8300.0,5008,5008,5002,25,14,4,1513,PLATINUM,IV,9.5,1467.05,1357.4,86.29,23.32,634.98,597.58,14.04,112.31,0.04,218.98,55.64,20.94,443.08,159.22,237.58,374.63,335.1,1.59,0.0,0.0,0.0,MIDDLE
th3 rush,False,4,6,7,2,1,0,0,0,0,9,16,0,0,45,13,1,8,1,True,False,False,False,False,False,8100,8200.0,5005,5008,5002,103,14,4,1513,PLATINUM,IV,1.83,3212.0,1878.6,489.28,844.08,657.11,458.63,77.49,72.77,0.04,215.65,49.97,49.97,691.29,397.99,281.0,347.55,326.17,6.11,0.0,0.0,0.0,MIDDLE
Zkjtzj,False,2,10,7,0,1,0,0,0,0,24,22,0,0,149,11,5,12,1,False,False,False,False,False,False,8100,8300.0,5008,5008,5002,50,14,4,1513,PLATINUM,IV,0.9,785.83,639.66,106.56,39.54,380.19,299.37,41.24,61.71,0.04,209.54,27.48,13.52,639.46,330.81,293.14,246.27,230.4,0.63,0.0,0.0,0.0,SUPPORT
Ifartdics,False,2,6,6,0,1,0,0,0,0,14,13,1,0,41,12,0,8,3,False,False,False,False,False,False,8100,8200.0,5008,5008,5002,45,4,12,1513,PLATINUM,IV,1.33,2966.13,2465.31,261.77,239.01,241.39,232.78,8.61,37.28,0.04,192.77,153.71,45.76,548.76,312.73,233.46,282.31,267.68,4.4,0.0,0.0,0.0,ADC
Bxndo,False,10,3,4,7,2,1,0,0,0,10,5,0,0,126,14,0,0,2,False,False,False,False,False,False,8100,8000.0,5008,5008,5002,121,11,4,1513,PLATINUM,IV,4.67,4950.77,305.99,4486.0,158.74,720.75,32.12,667.93,544.72,0.04,529.89,28.2,0.0,982.21,369.76,608.09,510.02,485.79,1.03,5.0,4.56,0.0,JUNGLE
OdddTree,False,4,10,0,0,1,0,0,0,0,16,12,2,0,84,13,2,8,2,False,False,False,False,False,False,8000,8100.0,5005,5008,5002,67,4,12,1513,PLATINUM,IV,0.4,4669.05,0.0,3168.82,1500.24,731.26,0.0,448.51,122.5,0.04,243.01,246.9,246.9,729.16,373.64,338.63,360.87,351.95,5.75,0.63,0.16,0.16,TOP
TopazSugar,True,9,10,16,3,2,1,0,0,0,46,53,3,0,163,18,3,11,3,False,False,False,False,False,True,8400,8200.0,5008,5002,5003,3,12,4,2823,PLATINUM,IV,2.5,3810.78,3535.28,129.52,145.95,744.78,686.57,7.44,307.89,0.02,1398.3,122.66,122.66,1044.74,245.12,718.36,350.82,324.65,3.66,0.26,0.09,0.09,MIDDLE
Patch Notes,True,6,9,14,2,1,0,0,0,0,23,1,2,3,40,18,2,11,2,False,False,True,False,True,False,8000,8300.0,5008,5008,5002,420,12,4,2823,PLATINUM,IV,2.22,4861.87,6.1,4742.57,113.2,685.63,5.12,651.12,457.36,0.02,1465.12,408.03,150.03,1080.98,333.18,525.4,349.67,345.38,4.53,0.57,0.32,0.19,MIDDLE
duck hehe jk,True,13,15,12,5,3,3,1,0,0,23,33,4,1,170,18,0,9,4,False,False,False,False,False,False,8100,8000.0,5005,5008,5002,202,7,4,2823,PLATINUM,IV,1.67,6261.3,208.63,5959.47,93.2,787.8,34.18,713.84,368.42,0.06,466.95,448.57,258.89,907.1,290.56,579.11,435.94,383.63,4.53,1.19,0.74,0.09,MIDDLE
ª   º   º   º  ª,True,20,8,9,11,2,2,0,0,0,28,29,0,1,677,18,0,1,6,False,False,False,False,False,False,8200,8100.0,5008,5008,5002,121,14,11,2823,PLATINUM,IV,3.62,6175.03,279.09,5421.79,474.11,1196.85,85.06,969.78,869.88,0.02,1038.19,791.56,10.22,1301.08,354.05,896.49,441.13,420.19,1.13,4.21,2.34,1.02,JUNGLE
ripgoobey,True,4,13,31,0,1,0,0,0,0,106,67,1,0,170,17,7,37,18,False,False,False,False,False,True,8400,8300.0,5007,5002,5003,412,14,4,2823,PLATINUM,IV,2.69,1161.47,444.93,197.39,519.11,362.76,275.03,43.53,358.02,0.02,784.74,99.66,76.98,1223.61,475.75,669.12,284.72,286.82,1.15,0.0,0.0,0.0,MIDDLE
xPU66YDESTROYERx,False,6,13,18,2,1,0,0,0,0,71,62,0,0,100,18,14,35,8,True,False,False,False,False,False,8400,8300.0,5007,5002,5003,89,4,14,2823,PLATINUM,IV,1.85,746.25,398.85,180.55,166.82,256.03,159.19,65.59,34.84,0.11,983.97,29.27,25.87,765.61,239.34,462.81,284.4,250.27,0.83,0.0,0.0,0.0,SUPPORT
ColdLikeFire,False,21,4,15,13,2,4,0,0,0,59,0,2,1,49,18,3,14,8,False,False,False,False,False,False,8000,8300.0,5005,5008,5002,236,7,4,2823,PLATINUM,IV,9.0,9858.64,327.89,8529.12,1001.59,1372.77,55.96,1146.84,119.0,0.09,336.49,794.54,149.08,523.29,128.33,370.22,604.85,425.61,7.69,0.64,0.47,0.0,ADC
Shadow74872,False,3,12,16,0,1,0,0,0,0,27,69,2,0,795,18,3,14,0,False,False,False,False,False,False,8400,8300.0,5007,5002,5002,516,4,12,2823,PLATINUM,IV,1.58,3842.06,1800.36,1855.52,186.18,667.61,396.2,238.47,63.66,0.02,2037.79,203.12,93.45,1249.48,306.52,859.98,302.64,295.96,3.29,0.23,0.06,0.0,TOP
sohyon,False,11,8,20,5,1,0,0,0,0,40,84,1,0,456,18,6,10,5,False,False,False,False,False,False,8100,8300.0,5005,5008,5002,134,14,4,2823,PLATINUM,IV,3.88,5777.19,5188.12,315.49,273.58,1100.72,987.12,47.95,204.91,0.02,408.67,132.75,46.38,734.56,265.1,436.85,386.52,366.63,5.08,0.0,0.0,0.0,MIDDLE
jg gap XDDDD,False,14,15,16,3,2,3,0,0,0,29,40,2,1,490,18,8,7,1,False,False,False,False,False,False,8100,8200.0,5005,5008,5002,104,11,4,2823,PLATINUM,IV,2.0,6907.82,274.13,6291.97,341.7,1061.85,47.08,887.01,445.4,0.02,1381.08,995.66,105.08,1289.05,248.67,932.62,431.54,474.92,2.0,3.49,2.4,0.38,JUNGLE
Jawndre,True,5,2,3,4,1,0,0,0,0,14,0,4,0,0,10,2,5,2,False,False,False,False,False,True,8000,8100.0,5005,5008,5002,236,4,7,987,GOLD,I,4.0,4528.51,102.19,3680.0,746.26,357.81,22.37,322.8,137.08,0.06,156.05,855.08,363.59,389.91,68.94,307.17,518.84,401.22,7.54,0.49,0.0,0.0,MISSING
ZaqTrack,True,3,5,4,0,1,0,0,0,0,8,17,0,1,105,10,1,6,0,False,False,False,False,False,False,8100,8200.0,5005,5002,5003,17,4,14,987,GOLD,I,1.4,1681.09,1074.16,552.22,54.65,435.14,298.72,81.7,77.33,0.06,317.33,138.24,83.1,580.06,22.25,508.09,321.16,244.68,3.47,0.24,0.0,0.06,MISSING
MemeLordSpotted,True,10,1,3,6,2,1,0,0,0,10,12,1,0,91,12,3,6,0,True,False,True,False,False,True,8000,8100.0,5005,5008,5003,777,14,4,987,GOLD,I,13.0,5067.48,651.55,4293.31,122.55,876.9,149.42,622.43,302.92,0.06,536.84,321.28,321.28,743.1,233.86,472.4,592.89,536.47,7.29,0.49,0.0,0.49,MISSING
TheStolenName,True,3,0,3,3,1,0,0,0,0,19,5,1,0,192,10,1,3,1,False,False,False,False,False,True,8100,8200.0,5008,5008,5002,28,11,4,987,GOLD,I,6.0,4694.04,3719.09,613.56,361.34,293.31,254.29,20.55,472.64,0.06,371.85,869.06,40.55,752.1,36.9,699.39,385.71,344.07,0.43,5.59,3.83,0.0,MISSING
Quicksec,True,4,0,9,4,1,0,0,0,0,24,12,1,0,112,10,2,11,4,False,False,False,True,False,True,8100,8300.0,5008,5003,5002,876,14,4,987,GOLD,I,13.0,1783.34,983.59,226.14,573.56,356.9,266.69,14.89,84.07,0.18,132.77,195.44,130.7,364.92,74.29,286.93,413.13,289.97,1.82,0.24,0.0,0.0,MISSING
noobmassster69,False,0,1,1,0,0,0,0,0,0,7,2,0,0,69,9,1,3,1,False,False,False,False,False,False,8100,8000.0,5008,5008,5002,11,4,11,987,GOLD,I,1.0,4265.17,245.11,3396.6,623.4,150.46,0.0,117.02,375.32,0.06,321.95,471.43,0.0,741.16,229.24,478.91,283.77,249.24,1.16,4.38,3.83,0.0,MISSING
SmellMii,False,5,6,0,2,1,0,0,0,0,9,12,0,0,16,10,0,5,1,False,False,False,False,False,False,8000,8400.0,5008,5008,5003,80,14,4,987,GOLD,I,0.83,2572.83,95.74,2444.98,32.1,559.09,3.65,523.34,76.72,0.06,359.88,146.26,146.26,711.12,339.7,307.96,359.82,352.58,5.29,0.0,0.0,0.0,MISSING
DCMND,False,1,5,2,0,1,0,0,0,0,2,14,0,0,54,8,1,2,0,False,False,False,False,False,False,8300,8000.0,5008,5008,5002,235,7,4,987,GOLD,I,0.6,1338.84,0.0,1193.86,144.98,234.77,0.0,234.77,126.32,0.18,170.27,0.67,0.67,479.27,139.94,283.28,264.62,238.6,4.26,0.0,0.0,0.0,MISSING
AF Fantasy,False,1,5,0,0,1,0,0,0,0,3,1,0,0,28,8,0,2,0,False,False,False,False,False,False,8100,8200.0,5005,5008,5002,8,14,4,987,GOLD,I,0.2,1245.47,797.02,429.91,18.48,252.16,188.75,44.92,163.71,0.06,173.56,11.55,11.55,497.51,110.94,338.72,238.42,188.45,3.1,0.0,0.0,0.0,MISSING
Swayne Brady,False,1,8,1,0,1,0,0,0,0,18,20,0,0,116,8,1,10,3,False,False,False,False,False,False,8100,8200.0,5008,5008,5002,50,14,4,987,GOLD,I,0.25,877.33,780.55,60.91,35.81,287.84,213.07,38.91,26.26,0.06,164.44,21.64,0.0,584.62,256.6,262.01,264.07,259.88,1.03,0.0,0.0,0.0,MISSING
Queen of Balch,False,6,4,3,5,2,1,0,0,0,11,24,2,0,275,13,3,3,3,False,False,False,False,False,False,8400,8100.0,5005,5008,5002,17,14,4,1274,GOLD,I,2.25,3961.41,2334.3,1087.49,539.58,717.32,555.49,134.32,107.76,0.05,394.1,289.26,289.26,640.13,259.69,319.59,472.98,469.78,6.92,0.19,0.0,0.0,JUNGLE
AbyssalGroves,False,1,3,9,0,1,0,0,0,0,26,19,0,0,33,9,3,13,1,False,False,False,False,False,False,8200,8000.0,5008,5008,5002,350,14,3,1274,GOLD,I,3.33,338.38,276.03,38.9,23.45,205.86,152.31,30.05,292.14,0.24,132.72,0.0,0.0,230.02,113.22,100.46,236.99,242.31,0.14,0.0,0.0,0.0,SUPPORT
NunuDownMid,False,2,8,1,0,1,0,0,0,0,8,10,0,0,15,12,0,5,1,False,False,False,False,False,False,8100,8300.0,5008,5008,5003,80,14,4,1274,GOLD,I,0.38,3555.54,109.87,3422.45,23.17,402.01,32.17,346.62,56.51,0.05,362.87,24.58,0.0,690.42,286.06,377.28,322.14,304.95,6.69,0.19,0.19,0.0,MIDDLE
Sector51,False,3,3,8,2,1,0,0,0,0,9,22,0,0,243,11,1,2,1,False,False,False,False,False,False,8200,8100.0,5005,5008,5002,20,11,4,1274,GOLD,I,3.67,3996.31,1584.44,744.4,1667.38,356.14,276.92,49.26,565.29,0.05,747.83,282.9,0.0,1008.23,217.21,756.69,317.43,281.4,0.19,4.24,2.97,0.28,JUNGLE
yoshijoshi94,False,2,6,5,0,1,0,0,0,0,8,0,0,0,15,10,0,5,0,False,False,False,False,False,False,8100,8000.0,5005,5008,5002,145,7,4,1274,GOLD,I,1.17,3226.15,270.8,2797.72,157.54,454.05,84.87,338.24,152.73,0.14,363.2,167.28,46.86,788.43,210.8,508.02,320.16,312.01,5.04,0.38,0.24,0.0,ADC
HappyCS7,True,5,3,2,3,2,1,0,0,0,7,9,2,0,58,13,0,4,1,False,False,False,False,False,True,8000,8100.0,5005,5008,5003,39,4,12,1274,GOLD,I,2.33,5495.04,850.64,4246.53,397.82,502.7,230.72,259.69,209.15,0.05,529.97,1036.15,152.92,750.71,362.12,338.95,436.77,399.51,7.77,0.38,0.0,0.0,TOP
Vored by Twitch,True,1,4,11,0,1,0,0,0,0,28,17,1,0,155,11,1,11,4,False,False,False,False,False,True,8400,8200.0,5008,5008,5001,117,7,4,1274,GOLD,I,3.0,380.91,330.66,50.2,0.0,113.59,88.92,24.63,143.17,0.24,271.22,130.27,106.2,362.45,155.56,192.29,283.99,247.72,0.19,0.0,0.0,0.0,SUPPORT
Gaping Maw,True,6,3,3,3,1,0,0,0,0,7,6,0,1,261,12,0,3,2,False,False,False,False,True,False,8000,8100.0,5005,5008,5002,29,21,4,1274,GOLD,I,3.0,4718.85,246.17,3649.69,822.9,697.25,93.67,519.7,128.76,0.05,318.37,209.34,209.34,540.47,189.0,325.15,414.58,289.64,7.25,0.57,0.57,0.0,ADC
allalcroy,True,12,2,4,8,2,1,0,0,0,8,7,1,0,53,13,1,5,0,True,False,False,False,False,False,8000,8100.0,5008,5008,5002,55,14,4,1274,GOLD,I,8.0,5077.49,2881.22,1808.85,387.36,1001.59,536.75,362.59,190.6,0.05,542.12,614.13,107.19,822.57,260.35,524.88,556.25,450.94,6.78,0.38,0.19,0.0,MIDDLE
Concordian MTL,True,0,2,10,0,0,0,0,0,0,24,16,2,0,105,11,5,4,1,False,False,True,False,False,True,8400,8200.0,5007,5008,5002,427,4,11,1274,GOLD,I,5.0,15949.07,150.8,211.7,15586.58,108.6,42.43,56.37,169.87,0.19,203.88,253.47,41.54,246.22,157.39,81.57,336.92,314.36,0.19,5.23,3.72,0.75,SUPPORT
smoll girl,False,2,5,11,2,1,0,0,0,0,25,36,0,0,147,13,1,14,2,False,False,False,False,False,False,8400,8200.0,5007,5002,5001,267,14,4,1781,GOLD,I,2.6,571.26,450.62,92.85,27.79,287.27,220.22,39.21,486.4,0.17,376.44,36.42,34.4,527.94,269.85,244.01,231.17,219.82,0.13,0.0,0.0,0.0,SUPPORT
Anniee,False,3,10,6,0,1,0,0,0,0,10,15,0,0,161,13,0,5,3,False,False,False,False,False,False,8100,8200.0,5007,5002,5003,1,14,4,1781,GOLD,I,0.9,2071.57,1814.52,233.67,23.35,529.35,497.08,8.89,1.58,0.03,216.82,42.85,22.91,644.33,353.77,284.54,262.74,244.24,3.34,0.0,0.0,0.0,MIDDLE
TurtleProdigy,False,7,9,5,3,1,0,0,0,0,13,13,0,0,497,12,0,6,2,False,False,False,False,False,False,8100,8300.0,5005,5008,5002,245,4,11,1781,GOLD,I,1.33,3808.23,2869.08,774.17,164.94,659.8,566.34,68.79,351.54,0.03,531.24,206.75,36.15,1159.07,373.31,744.26,352.66,334.7,1.72,2.39,2.09,0.0,JUNGLE
kephs,False,7,7,3,3,2,1,0,0,0,12,34,0,0,185,13,1,8,1,True,False,False,False,False,False,8000,8200.0,5005,5008,5002,202,4,7,1781,GOLD,I,1.43,3495.73,404.67,3080.75,10.31,731.89,153.28,576.82,94.73,0.1,230.4,72.16,72.16,754.23,378.63,360.37,382.3,364.68,5.49,0.0,0.0,0.0,ADC
wh1tellightning,False,2,6,7,0,1,0,0,0,0,9,22,1,0,173,15,0,8,0,False,False,False,False,False,False,8400,8300.0,5005,5003,5002,75,12,4,1781,GOLD,I,1.5,5701.75,1798.38,3824.81,78.53,678.8,264.93,413.87,25.7,0.03,1273.1,145.67,52.42,1482.65,433.64,1017.94,353.94,353.16,6.81,0.0,0.0,0.0,TOP
32 Jump Street,True,15,4,11,5,2,2,0,0,0,26,35,2,1,398,15,2,9,0,False,False,True,False,True,False,8200,8300.0,5005,5008,5003,61,12,4,1781,GOLD,I,6.5,4980.94,4488.61,480.03,12.3,1296.49,1206.67,77.48,219.72,0.03,577.5,266.41,141.49,906.57,473.7,406.56,493.75,481.75,5.66,0.54,0.27,0.13,MIDDLE
NA WORLD CHAMPS,True,8,1,12,5,1,0,0,0,0,38,22,2,0,509,17,3,3,10,False,False,False,False,False,True,8200,8000.0,5005,5008,5002,104,4,11,1781,GOLD,I,20.0,9255.87,326.68,8553.35,375.83,716.5,77.79,596.09,400.93,0.03,583.86,1306.15,143.04,761.37,307.68,450.39,503.14,404.27,2.76,6.54,3.44,1.38,JUNGLE
Big Zero 6,True,8,2,9,5,3,1,1,0,0,20,30,2,0,146,14,0,8,1,False,False,False,False,False,True,8300,8000.0,5005,5008,5002,235,4,7,1781,GOLD,I,8.5,3087.49,48.95,3012.94,25.6,657.04,7.71,636.86,450.29,0.17,300.77,308.12,143.14,711.68,336.01,368.32,379.4,340.26,4.62,0.54,0.17,0.13,ADC
Madllib,True,2,8,9,0,1,0,0,0,0,23,38,2,0,610,13,1,10,0,False,False,False,False,False,True,8400,8000.0,5008,5008,5002,54,4,12,1781,GOLD,I,1.38,3113.03,1510.58,1518.39,84.05,635.54,291.95,343.59,183.4,0.03,1560.54,250.54,213.72,970.58,415.45,533.4,312.03,298.99,4.08,0.0,0.0,0.0,TOP
GreenDookie,True,4,6,15,2,1,0,0,0,0,35,30,1,0,240,12,1,15,0,False,False,False,False,False,False,8200,8100.0,5007,5008,5002,117,14,4,1781,GOLD,I,3.17,701.47,373.27,154.9,173.26,285.78,197.08,48.24,126.33,0.17,355.25,38.81,21.86,530.43,239.16,272.27,279.55,247.11,0.67,0.13,0.0,0.0,SUPPORT
McÐonalds,True,8,1,6,6,2,1,0,0,0,19,25,2,1,358,14,1,2,3,False,False,True,False,True,False,8200,8100.0,5005,5008,5002,20,11,4,1655,GOLD,II,14.0,5833.02,2709.06,929.87,2194.01,361.41,301.6,36.47,668.16,0.04,861.03,1550.72,21.82,1024.97,140.52,856.89,403.76,345.32,1.09,4.68,2.36,0.44,JUNGLE
Bstakes6,True,2,2,6,0,1,0,0,0,0,13,19,3,1,150,15,1,8,1,True,False,False,False,False,True,8400,8000.0,5005,5003,5002,98,12,4,1655,GOLD,II,4.0,3866.21,1185.53,2472.91,207.73,378.05,168.73,209.29,68.01,0.04,814.01,240.51,168.73,497.4,28.13,440.01,389.29,361.27,6.56,0.0,0.0,0.0,TOP
SucckkaaaMaa,True,6,2,5,4,2,1,0,0,0,22,0,2,0,120,15,2,9,4,False,False,False,False,False,True,8000,8200.0,5005,5008,5001,42,4,21,1655,GOLD,II,5.5,5535.15,4670.61,781.05,83.46,939.55,786.02,152.52,91.98,0.04,216.54,439.76,175.47,430.48,106.4,305.55,473.95,412.68,7.25,0.47,0.29,0.0,TOP
niquyuM,True,4,2,9,4,1,0,0,0,0,21,19,4,1,53,14,4,9,3,False,False,False,True,False,True,8000,8200.0,5005,5008,5002,51,4,7,1655,GOLD,II,6.5,4566.38,158.94,4391.31,16.1,839.96,74.18,756.65,144.87,0.07,227.53,820.97,466.33,472.79,167.78,295.36,405.93,331.72,6.13,0.44,0.0,0.44,ADC
I Am Your Twitch,True,1,1,11,0,1,0,0,0,0,52,34,0,0,68,12,5,24,6,False,False,False,True,False,True,8400,8300.0,5007,5002,5002,89,14,4,1655,GOLD,II,12.0,841.56,346.51,240.62,254.36,229.92,152.81,48.69,82.62,0.15,702.45,82.51,32.45,456.51,120.91,318.63,264.47,240.18,0.98,0.0,0.0,0.0,SUPPORT
Granitial,False,1,6,1,0,1,0,0,0,0,11,9,0,0,93,12,3,5,2,False,False,False,False,False,False,8000,8400.0,5008,5008,5001,122,12,4,1655,GOLD,II,0.33,2820.22,0.0,2439.3,380.88,230.14,0.0,217.23,99.99,0.04,455.93,46.73,46.73,759.15,325.16,429.21,243.84,214.19,4.39,0.0,0.0,0.0,TOP
Dustiiinnn,False,2,3,2,2,1,0,0,0,0,16,15,0,0,231,13,1,7,1,False,False,False,False,False,False,8200,8100.0,5005,5008,5002,876,11,4,1655,GOLD,II,1.33,6068.95,3949.23,806.54,1313.15,409.81,322.11,9.39,447.41,0.04,598.98,225.72,0.0,1127.31,478.59,625.92,322.88,309.06,1.67,4.75,4.02,0.0,JUNGLE
Support Scrub,False,0,3,5,0,0,0,0,0,0,40,25,0,0,192,10,1,18,8,False,False,False,False,False,False,8200,8100.0,5007,5008,5001,117,3,4,1655,GOLD,II,1.67,571.21,397.09,97.27,76.82,112.64,86.9,25.7,15.41,0.04,212.56,91.21,7.94,427.4,161.95,264.33,209.0,207.55,0.94,0.0,0.0,0.0,SUPPORT
Empress Navier,False,5,5,1,2,1,0,0,0,0,7,2,1,0,34,14,1,8,0,False,False,False,False,False,False,8000,8300.0,5005,5008,5002,236,4,7,1655,GOLD,II,1.2,4727.67,215.13,4386.24,126.31,575.17,49.41,515.06,85.67,0.15,442.88,107.09,107.09,789.17,457.74,315.52,399.63,410.57,6.78,0.58,0.44,0.15,MIDDLE
KDreadnaught,False,0,4,3,0,0,0,0,0,0,12,0,1,0,0,13,1,7,1,False,False,False,False,False,False,8100,8000.0,5005,5008,5002,145,4,7,1655,GOLD,II,0.75,3449.8,310.15,3139.65,0.0,261.61,57.82,203.78,84.51,0.11,242.03,104.05,84.65,513.93,224.41,272.12,300.87,283.69,6.24,0.0,0.0,0.0,ADC
imnotapro769,True,12,3,3,8,3,2,1,0,0,12,2,1,0,64,15,0,8,2,False,False,False,False,False,False,8100,8000.0,5008,5008,5003,84,4,14,1646,GOLD,II,5.0,3997.65,3429.99,516.89,50.7,968.13,869.31,67.76,236.65,0.04,405.6,168.52,103.52,795.53,46.84,710.45,449.89,466.59,5.43,0.29,0.15,0.15,MIDDLE
White PP GanGan,True,0,6,7,0,0,0,0,0,0,15,7,0,0,40,14,1,7,2,False,False,False,False,False,False,8000,8200.0,5005,5008,5001,51,7,4,1646,GOLD,II,1.17,4721.99,15.78,4342.09,364.12,392.44,13.23,331.2,122.19,0.15,198.59,125.98,67.25,479.78,95.29,381.73,318.88,294.35,6.27,0.44,0.29,0.0,ADC
