,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,doubleKills,tripleKills,quadraKills,pentaKills,visionScore,timeCCingOthers,turretKills,inhibitorKills,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,champion,spell1,spell2,gameDuration,tier,division,kda,totalDamageDealt_per_min,magicDamageDealt_per_min,physicalDamageDealt_per_min,trueDamageDealt_per_min,totalDamageDealtToChampions_per_min,magicDamageDealtToChampions_per_min,physicalDamageDealtToChampions_per_min,totalHeal_per_min,totalUnitsHealed_per_min,damageSelfMitigated_per_min,damageDealtToObjectives_per_min,damageDealtToTurrets_per_min,totalDamageTaken_per_min,magicalDamageTaken_per_min,physicalDamageTaken_per_min,goldEarned_per_min,goldSpent_per_min,totalMinionsKilled_per_min,neutralMinionsKilled_per_min,neutralMinionsKilledTeamJungle_per_min,neutralMinionsKilledEnemyJungle_per_min,lane
cowb33st,True,2,6,23,2,1,0,0,0,0,12,39,1,0,809,16,0,6,1,False,False,False,False,False,True,8400,8100.0,5008,5002,5002,516,12,4,1739,DIAMOND,III,4.17,3076.77,1255.51,1790.27,30.95,576.23,313.28,231.96,129.42,0.03,1535.3,287.82,191.18,979.74,144.63,753.88,373.8,364.0,4.21,0.14,0.0,0.0,MIDDLE
Ethân,True,3,7,26,0,1,0,0,0,0,49,35,0,0,294,14,2,21,5,False,False,False,False,False,True,8400,8200.0,5007,5002,5002,54,7,4,1739,DIAMOND,III,4.14,1896.99,1065.06,660.31,171.58,685.01,457.68,223.54,69.32,0.1,1377.96,191.52,188.73,553.01,119.93,370.18,350.96,305.35,1.76,0.0,0.0,0.0,SUPPORT
AryanTeemo,True,18,7,7,6,2,4,0,0,0,15,30,2,2,356,16,0,5,2,False,False,False,False,False,True,8000,8100.0,5005,5008,5001,104,11,4,1739,DIAMOND,III,3.57,6370.11,259.36,5719.05,391.71,1232.57,38.85,1081.38,455.4,0.03,1007.03,701.44,112.86,1093.39,192.73,764.72,576.26,538.24,1.31,4.9,3.59,0.38,JUNGLE
Embryo Yall ,True,15,7,8,5,2,1,0,0,0,12,20,2,0,28,14,0,8,0,True,False,False,False,False,False,8100,8400.0,5008,5008,5002,80,14,4,1739,DIAMOND,III,3.29,2665.22,88.81,2496.68,79.74,869.74,27.95,766.61,180.07,0.03,516.33,249.18,150.64,722.45,142.29,530.27,422.59,360.55,3.28,0.0,0.0,0.0,ADC
KR Malice,True,6,0,9,6,1,0,0,0,0,14,10,0,0,35,11,0,7,0,False,False,False,False,False,True,8200,8000.0,5008,5008,5002,350,3,14,1244,DIAMOND,IV,15.0,987.54,448.26,63.38,475.85,348.33,274.49,45.58,333.38,0.19,104.57,139.05,139.05,192.64,104.13,72.25,369.89,209.81,0.19,0.0,0.0,0.0,SUPPORT
U HAVE 45 CHROMO,True,2,6,4,0,1,0,0,0,0,13,26,1,0,141,11,1,6,1,False,False,False,False,False,False,8300,8100.0,5008,5008,5003,518,14,4,1244,DIAMOND,IV,1.0,2263.12,1972.86,267.49,22.77,384.36,338.34,23.2,18.91,0.05,267.88,67.86,67.86,580.8,71.96,470.64,289.1,270.58,2.89,0.39,0.39,0.0,MIDDLE
mid dïff,True,6,2,8,3,1,0,0,0,0,15,6,6,1,45,12,2,8,1,False,False,False,False,False,False,8000,8200.0,5005,5008,5003,51,4,7,1244,DIAMOND,IV,7.0,4843.07,195.72,4647.35,0.0,416.48,36.13,380.35,83.44,0.1,188.3,596.29,586.98,544.1,207.93,218.92,506.82,376.21,7.48,0.05,0.0,0.0,ADC
Def A Noob,True,10,5,10,3,2,1,0,0,0,11,17,0,0,153,12,1,2,2,False,False,False,False,False,True,8000,8200.0,5005,5002,5003,120,11,6,1244,DIAMOND,IV,4.0,3912.54,852.06,2535.63,524.86,515.93,76.3,407.12,378.04,0.05,654.12,564.02,28.46,1070.88,193.84,810.58,462.54,439.29,1.3,3.04,2.03,0.39,JUNGLE
ISakuraI,True,13,4,4,4,2,1,0,0,0,18,6,4,2,92,14,2,7,4,True,False,True,False,True,False,8000,8400.0,5005,5008,5002,114,4,12,1244,DIAMOND,IV,4.25,6497.12,41.09,6283.12,172.86,969.41,28.22,781.3,278.49,0.14,681.22,635.59,531.75,992.6,240.68,721.06,645.0,600.87,8.39,0.77,0.0,0.53,TOP
Nykah,False,2,7,1,0,1,0,0,0,0,11,4,0,0,179,11,4,9,1,False,False,False,False,False,False,8000,8100.0,5007,5008,5002,69,12,4,1244,DIAMOND,IV,0.43,2349.74,2189.9,159.84,0.0,220.61,199.24,21.32,60.1,0.05,211.25,0.0,0.0,535.8,56.0,430.76,285.29,252.01,4.82,0.0,0.0,0.0,TOP
Sicario Antrax,False,4,8,5,0,1,0,0,0,0,13,84,1,0,260,11,0,5,1,False,False,False,False,False,False,8400,8300.0,5008,5008,5002,56,4,11,1244,DIAMOND,IV,1.12,3473.92,166.01,3005.88,301.98,398.83,37.86,325.8,256.64,0.05,456.03,669.02,50.79,913.75,232.77,617.17,355.71,341.24,0.87,3.14,2.17,0.0,JUNGLE
San Benito,False,4,5,5,2,1,0,0,0,0,16,0,1,0,21,11,4,9,0,False,False,False,False,False,False,8000,8300.0,5005,5008,5003,236,4,14,1244,DIAMOND,IV,1.8,3206.33,88.41,2831.96,285.92,511.5,10.42,487.28,12.83,0.05,174.79,264.6,147.78,470.35,151.45,283.84,374.04,366.56,4.87,0.19,0.0,0.19,MIDDLE
Golden Robinson,False,3,8,3,0,1,0,0,0,0,31,21,0,0,176,11,1,15,1,False,False,False,False,False,False,8200,8300.0,5008,5008,5002,161,4,14,1244,DIAMOND,IV,0.75,2825.88,2050.03,202.19,573.62,793.46,561.85,14.71,5.98,0.05,297.64,82.77,49.77,711.32,167.07,497.94,355.85,348.95,2.27,0.39,0.39,0.0,SUPPORT
bløod,False,3,9,4,0,1,0,0,0,0,9,12,0,0,60,10,1,7,1,False,False,False,False,False,False,8000,8200.0,5008,5008,5001,202,4,7,1244,DIAMOND,IV,0.78,2542.96,68.49,2390.26,84.21,356.05,9.16,343.7,61.45,0.05,256.5,166.88,71.33,731.53,189.79,492.54,297.35,273.71,4.34,0.19,0.0,0.0,ADC
MAKEITTAKEIT,False,0,3,0,0,0,0,0,0,0,7,8,0,0,300,8,1,2,0,False,False,False,False,False,False,8200,8000.0,5005,5008,5002,104,4,11,915,DIAMOND,IV,0.0,3552.33,341.31,2880.46,330.49,101.97,10.3,82.89,230.23,0.07,317.31,283.48,0.0,605.9,121.64,478.95,276.85,211.48,0.72,4.98,3.48,0.59,MISSING
Zeetal,False,1,4,1,0,1,0,0,0,0,19,18,0,0,40,7,7,11,6,False,False,False,False,False,False,8400,8000.0,5005,5002,5002,44,14,4,915,DIAMOND,IV,0.5,874.1,325.11,346.69,202.16,180.59,107.61,60.26,124.79,0.26,308.85,0.0,0.0,397.25,110.23,278.43,229.7,221.31,1.64,0.26,0.0,0.0,MISSING
RoboLaRuez,False,1,3,0,0,1,0,0,0,0,7,20,0,0,216,10,1,4,1,False,False,False,False,False,False,8200,8100.0,5005,5008,5003,17,14,4,915,DIAMOND,IV,0.33,2837.51,1535.02,925.18,377.25,300.0,262.3,20.39,60.59,0.07,214.16,47.15,47.15,527.87,389.38,128.98,280.72,211.48,5.44,0.0,0.0,0.0,MISSING
Paradox Player,False,0,3,0,0,0,0,0,0,0,14,6,0,0,214,10,3,8,1,False,False,False,False,False,False,8100,8300.0,5008,5008,5003,245,4,14,915,DIAMOND,IV,0.0,3149.18,2512.33,450.95,185.84,172.98,136.85,31.54,139.02,0.07,237.57,187.41,0.0,601.38,111.34,474.23,261.05,209.51,6.36,0.13,0.0,0.13,MISSING
